CodEmpresa,DescEmpresa
90,CLARO PLANES
60,MOVISTAR
324,YANBAL
49653,PROVISALI
43599,SOCIEDAD FINANCIERA VISIONFUND  
2265,DEPRATI
37027,ECONOMATO LATACUNGA
33710,AZZORTI
40018,DISTRIBUIDORA DICELTECSA SA  
45513,PAGOSEGURO  
19483,FE Y ALEGRIA CENTRO
8410,CODEPRET SA FULLCARGA 
44886,SERVITELCONET CIA LTDA   
39682,CODGREC SA- 
18027,"ETATEX, ETAFASHION"
46860,AGUAS MACHALA-EP  
18028,"TIENDEC, ALAMCENES RM"
853,PUNTONET SA 
1016,FUNDACION ESPOIR
2245,MUNICIPIO GUAYAQUIL CEP
1165,INSOTEC
2287,ANT CITACIONES FACTURAS
37790,AGUA POTABLE DE STO DOMINGO
36422,IPLANET EC  
22686,SOLUCIONES AVANZADAS
54444,INTERCOMMERCE SA                                                                                    
2169,COMANDATO   
46931,ESCUELA FISCOMISIONAL LA INMACULADA  
48417,ALFANET SANTO DOMINGO
45884,CABINAS TELEFONICAS NCIC 
49759,VISIONMAGICA
10453,ARTEFAC BARAT TROPI RSHACK AKT   
372,NESTLE ECUADOR- 
43903,TELEALFACOM CIA LTDA ALFANET EL CARMEN
41208,SOLUMOVECSA 
62969,GESTIONA GTX
,FCPC CCV CTE                                                                                        
25198,COMUNICACION Y TELEFONIA REDPRIMCEL CIA LTDA  
32686,FE Y ALEGRIA REGIONAL SANTO DOMINGO- 
48416,TELEALFACOM CIA LTDA ALFANET QUEVEDO  
46845,FUNDACION DE APOYO COMUNITARIO Y SOCIAL FACES 
61065,SIMANTEC
720,LEONISA
65829,EL OTRO ES CRISTO
264,ORIFLAME
13986,DINADEC S A-
8036,SPPEDYCOM CIA LTDA   
50496,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE IBARRA EMAPA I   
48418,ALFANET CHONE   
11776,BROADNET SA 
2268,HERBALIFE
16951,PERUZZI SA  
25138,ALMACENES LA GANGA   
9393,PAGUE YA
21552,ASOCIACION FE Y ALEGRIA REGIONAL MANABI ESMERALDAS
6359,CODESARROLLO-   
53137,PORTOAGUAS EP   
53936,HY CITE ENTERPRISES ECUADOR CIA LTDA 
53920,JULIO CESAR PEREZ TITO   
40618,EBESTPHONE ECUADOR SA
9039,TELECOMVAS  
37518,DANNY ALEXANDER ALCIVAR ESPIN
65340,HAPPYCEL SA 
25436,CABLE FAMILIA   
21428,CATALOGO MI ANGEL
45779,DV TELEVISION DVTV S A   
245,PLASTICAUCHO-   
19631,FE Y ALEGRIA SIERRA-
36230,REDECOM CIA LTDA
49687,INSTITUTO TECNOLOGICO SUPERIOR JAPON 
59659,GLOVOAPP ECUADOR SA  
55685,ALFANET 
10922,VIVIENDAS HOGAR DE CRISTO
642,EMELNORTE                                                                                           
61601,FIBER STORE 
19606,COLEGIO LA SALLE TULCAN  
26820,REPRESENTACIONES REPMAJUSA S A-  
47341,INSTITUTO TECNOLOGICO SUPERIOR VIDA NUEVA 
38007,INST TECN SUPERIOR HONORABLE CONSEJO PROVINCIAL DE PICHINCHA   
42193,COBRA FACIL FABRACILISA S A  
15672,BANCA COMUNAL 805 LIBERTAD
67320,MARIA JOSE ZAMBRANO ZAMBRANO 
15677,BANCA COMUNAL 810 QUEVEDO-   
27157,CATALOGO MISTIKA
51510,KRADAC CIA LTDA 
51275,POWERNET
47033,TECHNOLOGY EQUINOCCIAL TECCIAL   
1807,CREDITOS ECONOMICOS  
64060,FIBRATELECOM  
66021,UNIDAD EDUCATIVA HERMANO MIGUEL  
62060,FERTISA AGIF C L
12351,FUNDACION VIDA NUEVA 
19448,PARQUESANTO DEL ECUADOR S A PQE  
44196,RED EDUCATIVA ARQUIDIOCESANA                                                                        
14213,TIOSA SA
17893,ESCUELA MARIA AUXILIADORA
67119,EMAPAD DURAN                                                                                        
67618,DCNET SA                                                                                            
66047,ELABORACION DE APERITIVOS DULC   
1978,OMNILIFE DEL ECUADOR S.A.-   
38613,ALMACENES ESPANA
6187,books and bits ecuador   
2284,MICROCOBROS - PAGO
56620,NETDIGITAL SA   
60569,GRUPO INTERCOM  
23725,TECNOLOGIA REDES COMUNICACIONES CESACEL CIA LTDA  
34693,JOLIE   
2258,CLARO TV SATELITAL
47526,ASOCIACION FE Y ALEGRIA ECUADOR  
54916,MARIA TANYA ZAMBRANO COVENA  
47723,UNIDAD EDUCATIVA SANTA JUANA CHANTAL 
610,MUNICIPIO DE RUMINAHUI   
6610,INVACELL
42450,EPAM-RECAUDACIONES                                                                                  
44669,UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL DE LA SALLE
14086,COLEGIO PARTICULAR SAN ESTEBAN-  
531,MARCIMEX
18622,BRIDGETELECOM   
28567,IMBACABLE   
52580,REYLACTEOS CL   
52754,UNID EDU INMACULADA LATACUNGA
60192,SURNET  
32990,COLEGIO PARTICULAR LA CONSOLATA
53431,CABLE HOGAR MANABI   
56617,CORPORACION NACIONAL OREGON  
1441,CSED SA 
35238,ESCUELA PARTICULAR N290 JUAN MARTIN MOYE  
23908,EMPRESA ELECTRICA RIOBAMBA SA
64021,PAYVALIDA S A   
2296,ATM GYE CITACIONES
43180,UNIDAD EDUCATIVA PADRES SOMASCOS EL CENACULO  
47810,UNIDAD EDUC.SAN DANIEL
48690,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE DAULE EMAPA EP   
45150,COLEGIO LA SALLE IBARRA  
15670,BANCA COMUNAL 802 GQL-  
9118,ADEATEL S.A.-   
46501,UNIDAD EDUCATIVA SANTA MARIA DE LOS ANGELES   
5310,ESCUELA FISCOMISIONAL NUEVO ECUADOR- 
31458,LATINOAMERICANA DE COBRANZAS LATICOBSA SA
13480,PARROQUIA ECLESIASTICA SANTA ROSA DE LIMA 
15673,BANCA COMUNAL 806 STO DGO-   
18405,TURBONET S A
51028,MARIA MAZZARELLO SIGSIG  
42004,UNIDAD EDUCATIVA PARTICULAR JULIO MARIA MATOVELLE 
65665,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PEDERNALES EPMAPA PED 
65225,DAULEVISION 
40322,UNIDAD EDUCATIVA PARTICULAR SANTO TOMAS DE AQUINO 
21056,UNIDAD EDUCATIVA FISCOMISIONAL DON BOSCO  
39714,UNIDAD EDUCATIVA PARTICULAR MIXTA MONSENOR FRANCISCO DOLERA
47421,UNIDAD EDUCATIVA NUESTRA SENORA DE FATIMA 
7129,UNIVERSIDAD TECNOLOGICA INDOAMERICA- 
67222,ALFANET MANTA
42777,SOCIEDAD DE MADRES SALESIANAS ESCUELA LAURA VICUNA
41375,ESCUELA PARTICULAR NO.196 BARTOLOME GARELLI   
58878,UE SAN FRANCISCO DE ASIS SALCE   
45800,AGUA PORTABLE DE BANOS CUENCA
54964,ALFANET MANGA   
46057,SPEEDWRITING
34671,COLEGIO PARTICULAR JUAN DIEGO
26926,AIRMAXTELECOM SOLUCIONES TECNLOGICAS SA   
41067,ASOCIACION SAN GABRIEL   
37890,NOZZTRA 
53616,FUNDACION KAIROS
23203,ESCUELA MONSENOR JUAN MARIA RIERA
57600,ULTRALINK   
3432,GAD MUNICIPAL CANTON SALCEDO 
24887,ESC PARTICULAR 786 SAN JOAQUIN Y SANTA ANA
15674,BANCA COMUNAL 807 PORTOVIEJO-
40467,ESCUELA FISCOMISIONAL SAN LUIS GONZAGA
43304,LEON NAVARRETE JOSE TITO 
59927,UNIDAD EDU BATALLA DE JAMBELI
26248,JENNY LOURDES CONDO BAU  
12434,SERVICIOS EDUCATIVOS JIM IRWIN CIA LTDA   
26446,BANCA COMUNAL 816 AMBATO-
32742,UNIDAD EDUCATIVA ACADEMIA MILITAR SAN DIEGO
64970,UNIDAD EDUCATIVA O NEIL  
49642,UNIDAD EDUCATIVA MARISTA PIO XII 
52696,MARIA MAZZARELLO GUAYAQUIL   
44401,SERVIVALLEBLEK CIA LTDA
51045,CBVISION
51479,SANTA ELENA CABLETEVE CIA LTDA   
2751,PRONACA 23- 
2832,UNIDAD EDUCATIVA SANTA DOROTEA-  
27828,COLEGIO FREIRE STABILE UCSG- 
34119,INTERNAT
63510,FINSOLRED S A   
2275,UNIVISA POSTPAGO - PAGO
58883,CORPEGAN                                                                                            
44854,COSTACOMTV COSTA COMUNICACIONES Y TELEVISION S A  
43421,UNIDAD EDUCATIVA SANTA MARIANITA 
9842,COOPROGRESO 
15777,SERVIEXEQUIA S.A.
61551,U E NUESTRA SENORA DEL CISNE 
42871,RECAUDACIONES
8630,COOPERATIVA CHONE LIMITADA                                                                          
66366,U E SOR TERESA VALSE 
39716,UNIDAD EDUCATIVA BILINGUE SAGRADOS CORAZONES  
920,EMPRESA DE AGUA POTABLE Y ALCANTARILLADO SAN MATEO                                                  
28991,COLEGIO PART MIXTO SAGRADA FAMILIA DE NAZARETH
20820,SINDICATO DE CHOFERES PROFESIONALES DE PICHINCHA- 
62005,BANWALLET   
4319,UNIDAD EDUCATIVA ROSARIO SANCHEZ BRUNO-  
24917,ESC FISCO N 8 MONSENOR NESTOR ASTUDILLO BUSTAMANTE
18497,COAC TEXTIL 14 DE MARZO  
46555,RONQUILLO SANCHEZ GRACIELA OFELIA
15669,BANCA COMUNAL 801 QUITO-
39773,UNIDAD EDUCATIVA PARTICULAR SAN JOSE-RECUADACIONES
59156,GESTIONA PICHINCHA   
,VICTOR HUGO POZO ANDRADE                                                                            
40946,POWERNET
62904,EFI CORDILLERA                                                                                      
57146,UNIDAD EDUCATIVA MARIA MAZZARELLO
63346,UE MARIA AUXILIADORA DE JULIO
57026,U EDUCATIVA MANUEL A GONZALEZ
1190,FESVIP FUNDACION MATILDE A DE FERNANDEZ SALV  
7559,CORPORACION CFC S A-
35408,UNIDAD EDUCATIVA JESUS MARTINEZ EZQUERECOCHA  
55022,FRANCISCO XAVIER HAZ ARMIJOS 
60531,ENLACE NET                                                                                          
65884,EMMAP EP
60568,INTERCOM STA ELENA   
62177,FUXION BIOTECH  
38527,ESCUELA PARTICULAR NUESTRA SENORA DE LA SABIDURIA 
52411,UNIDAD EDUCATIVA PARTICULAR PIERA GRAZIA BRUCCOLERI   
51491,UNIDAD EDUCATIVA PARTICULAR JULIO MARIA MATOVELLE 
4594,ORIGINARSA S A- 
45545,"EMPRESA PÚBLICA MUNICIPAL MANCOMUNADA DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y PLUVIAL Y DEPURAC "
47708,TV ORO  
66487,SAGRADO CORAZON LATACUNGA
61274,IGLESIA SANTIAGO APOSTOL DE MACHACHI                                                                
61761,UNIDAD EDUCATIVA CIUDAD DE ARI   
36520,CENTRO DE EDUCACION BASICA FISCOMISIONAL BUEN PASTOR  
34113,NOVACREDIT SA   
38237,GLOD
14105,COOP AHORRO Y CREDITO COOPAD LTDA
10876,LANSEY SA   
66516,RECAUDACIONES
45776,COLEGIO LA SALLE CUENCA VESPERTINO   
41289,CENTRO DE EDUCACION CONTINUA EPN 
11542,COOPERATIVA ATUNTAQUI
52891,COLEGIO LA SALLE CONOCOTO
45255,UNIDAD EDUCATIVA LA DOLOROSA 
9395,COOPERATIVA DE AHORRO Y CREDITO LUCHA CAMPESINA-  
66179,COLEGIO LA PROVIDENCIA QUITO 
35313,RFS SA ROAD FEEDER SERVICES  
43385,COLEGIO PARTICULAR SAN GABRIEL DE LA DOLOROSA 
42870,UNIAD EDUCATIVA PASIONISTA   
37292,UNIVERSIDAD POLITECNICA SALESIANA GUAYAQUIL   
8865,COLEGIO DIOCESANO BILINGUE-  
49874,SOCIEDAD DE MADRES SALESIANAS
62796,BASICA PARTICULAR MONSENOR   
58754,SANTO DOMINGO DE GUZMAN AMBATO   
36201,CENTRO DE EDUCACION BASICA SAN JOSEMARIA ESCRIVA  
37171,UNIDAD EDUCATIVA LAS LOMAS   
22918,COL MARIA AUXILIADORA MANTA
24842,MOVILWAY ECUADOR SA. 
33372,FUNDACION ECUATORIANA AUSTRIACA- 
34668,UNIDAD EDUCATIVA NARCISA DE JESUS
40976,ESCUELA PARTICULAR DR LUIS ARZUBE ARZUBE  
20774,UNNOPARTS CIA LTDA   
16091,COL.MARIA AUXILIADORA SALESIANAS CUENCA- 
57194,CEVALLOS Y SILVA CEVSIL CIA LTDA 
14672,SWEADEN COMPANIA DE SEGUROS Y REASEGUROS-
70182,LUIS ALBERTO IZAGUIRRE MACIAS                                                                       
66455,JEFFERSON PAUL ANALUISA RAMIREZ  
1339,UNIV CATOLICA SANTIAGO DE GQUIL- 
4057,SERVICIO ECUATORIANO DE C
25840,ESCUELA PARTICULAR MIXTA 188 SAN ESTEBAN DIACONO  
60184,DIENAV  
22830,UNIDAD EDUCATIVA CATOLICA CARDENAL RICHARD CUSHING
46677,MACIAS MUNIZAGA FREDDY FERNANDO  
32737,UNIDAD EDUCATIVA DIOCESANA SAN LUIS  
36202,UNIDAD EDUC CARDENAL BERNARDINO ECHEVERRIA GYE
33279,UNIDAD EDUCATIVA PARTICULAR JERUSALEN-   
18424,CHARLES SPURGEON
2715,TELECITY TELECOMUNICATION CITY S A TELECISA- 
49704,UNIDAD EDUCATIVA PARTICULAR AMERICA  
46139,FUNDACION D GARY YOUN
61080,CREDICEL                                                                                            
65484,EMRAPAH 
65961,ANA MERCEDES PINTAG TENE 
68821,AGUA POTABLE ESMERALDAS EPMASE                                                                      
45427,TELEBUCAY S A                                                                                       
23227,UNIDAD EDUCATIVA DOLORES SOPENA  
67249,GIGAREDSA S A   
31709,COOP DE AHORRO Y CREDITO INDIGENA SAC LTDA
28467,ECNET   
22854,ESCUELA PARTICULAR PROMESAS LUCIANAS NO.5 
46825,ESCUELA MERCEDES NAVARRETE   
43267,UE SAN FRANCISCO DE ASIS GYE                                                                        
935,SUPERMERCADO DE COMPUTADORAS COMPUBUSSINES CIA LTDA   
885,PINTURAS CONDOR-
59026,JENNY DEL ROCIO PALLO MELO   
53106,ESC EDU OSWALDO GUAYASAMIN   
44957,COMPUTECNICSNET S.A. 
65703,EPAA MEJIA  
28258,NECUSOFT CIA LTDA
55474,UNIDAD EDUCATIVA GANDHI  
47047,EDUMIGAR SA 
36706,RECAUDACIONES
67597,HUGHES DEL ECUADOR HDE CIA LTDA                                                                     
47914,UNIDAD EDUCATIVA FISCOMISIONAL TECNICO ECUADOR
58935,UNID EDU PART ALBERT EINSTEIN
12250,COOPERATIVA JUAN DE SALINAS  
63517,OMNIFIBER                                                                                           
50394,MULTISERVICIOS FENIX PAGOS FENIXPAGOS S A 
47427,ECONOCEL
63731,INNO FIBER INFI CIA LTDA                                                                            
15676,BANCA COMUNAL 809 CHONE-
8702,COOPERATIVA DE AHORRO Y CREDITO MUJERES UNIDAS CAC-   
34672,UNIDAD EDUCATIVA VIRGEN DEL CISNE
15724,BERNITECH-  
22852,UNIDAD EDUCATIVA FISCOMISIONAL SALESIANA SAN JUAN BOSCO   
18712,UNIVERSIDAD DE OTAVALO- 
65998,GIGARED FLORES CIA LTDA                                                                             
33257,EMP PUB MUNIC AG P Y ALCANT DE PEDRO VICENTE M EPMAPA PVM 
19040,HERRERA BARROS MERLE ASTRID  
69039,ANDINARED S A S                                                                                     
820,PONTIFICIA UNIVERSIDAD CATOLICA- 
20536,ESCUELA PARTICULAR JUAN DIEGO-   
42604,DATILMEDIA SA   
28557,ESCUELA PARTICULAR SANTA ROSA DE LIMA
6353,COMPUTING COMUNICATION
54443,UNIDAD EDUCATIVA PARTICULAR MARIA DE LA MERCED
27793,COLEGIO PARTICULAR GARCIA MORENO 
50221,INSTITUTO QUITO METROPOLITANO
51069,UNIDAD EDUCATIVA FRANCISCANO SALITRE 
43193,RUTH MARIA VELEZ ZAMBRANO
26447,BANCA COMUNAL 817 MACHALA-   
66711,ACADEMIA GENERAL MACHADO 
33647,CORP DE CAPITALIZACION Y REVALUACION DE CARTERAS CORP CRC SA- 
4631,COLEGIO LAS PRADERAS 
16433,UNIDAD EDUCATIVA PARTICULAR ELENA ENRIQUEZ-RECAUDACIONES                                            
15732,BANCA COMUNAL 804 TULCAN-
47815,RELEVANCE   
4275,JAHER CIA LTDA  
33039,TELECAPACITADOS CIA LTDA-
6522,INSTITUTO NINO JESUS DE PRAGA-   
66571,ESCUELA DE EDUACION BASICA SON   
66337,U EDUC SAN PEDRO PASCUAL QUITO   
647,GRAFICOS NACIONALES S.A. GRANASA-
46545,UNIDAD EDUCATIVA PARTICULAR REDEMPTIO
53388,UNIDAD EDUCATIVA SANTA MARTHA
3138,ELEPCO SA   
1145,COLEGIO GONZAGA-
32957,INSTITUTO SUPERIOR TEC ESPIRITU SANTO
24686,BANCA COMUNAL 815 CUENCA-
27925,SINDICATO CANTONAL DE CHOFERES PROFESIONALES DE EL GUABO  
19648,GALINDO JOHNSON REPRESENTACIONES CIA LTDA 
,GALARPLAN SA                                                                                        
62966,SANDRA ELIZABETH FLORES REINOSO  
38584,ESCUELA PARTICULAR NO 136 SANTO TOMAS DE AQUINO   
33001,UNIDAD EDUCATIVA SANTA MARIA 
17621,MUNICIPIO DE MANTA   
24918,ESCUELA PARTICULAR NUESTRA SENORA DE MONTEBELLO   
34673,ESCUELA PARTICULAR LAS CUMBRES N 1370
92,ANAI
66468,GOOD PRICE VGOOD S A S                                                                              
66361,U E MARIA AUXILIADORA QUITO  
65537,AGUAPAS 
14257,COLEGIO ANTONIO FLORES   
38879,DEMOSMART SA
8806,COMPANIA DE SERVICIOS AUXILIARES DE GESTION DE COBRANZA RECYCOB SA 
13849,UNIDAD EDUC PART MERCEDES
39725,UNIDAD EDUCATIVA MARIA LUISA PLAYAS- RECAUDOS 
6056,IMPORTADORA DE RULIMANES HIVIMAR CIA. LTDA.- 
43235,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DEL CANTON PUERTO LOPEZ  
2441,MOTORPLAN SA
49450,ACQUALUXE   
27209,BPAC AMERAFIN-  
37902,CENTRO EDUCATIVO INTEGRAL PARTICULAR LAGO AGRIO AMAZONICO 
67027,UNIDAD EDUCATIVA ELIA LIUT   
67262,REDESTEL S A                                                                                        
37404,UNIDAD EDUCATIVA MADRE BERNANDA BUTLER
36860,ESCUELA PARTICULAR N 48 SANTA ANA
47331,IBARRA ARGUELLO FRANCISCA TRINIDAD   
16841,COLEGIO JESUS DE NAZARETH-   
37291,RECAUDACIONES
6336,AGUAS DE SAMBORONDON AMAGUA C.E.M.-  
6053,ASOCIACION MUTUALISTA PICHINCHA- 
54325,COLEGIO PART INST SUAREZ 
25286,JOHN BELLERS-   
18587,COOPERATIVA DE TRANSPORTE DE PASAJEROS EN TAXIS JOCAY 
66757,UNIDAD EDUCATIVA OXFORD  
76,PRONACA 25- 
39799,JARDIN ESCUELA PAARTICULAR ABEJA MAYA
66193,INSTITUTO SUDAMERICANO   
12664,COOPERATIVA COTOCOLLAO   
59604,ESCUELA DE EDUCACION BASICA CA   
59158,FREDY GUSTAVO CALVA CALVA
43130,GOMEZ PULLA JOSE LEONARDO
1327,DEVIES CORP SA- 
64732,DATIL TECHNOLOGIES INC   
65721,U E MARIA AUXILIADORA RIOBAMBA   
19597,TELENLACES                                                                                          
540,REMECO REPRESENTACIONES METALMECANICAS-  
55149,FIBERGO 
64627,ESCUELA SAN CARLOS   
43717,MOVILIZAECUADOR SA   
1058,ENI ECUADOR S.A.-RECAUDACIONES                                                                      
39563,MEDINATURAL CIA LTDA 
54950,ESCUELA PARTICULAR DON BOSCO 
67134,ESCUELA INDEP DEL VALLE                                                                             
8781,U E LEONARDO MURIALDO
62878,IDV ESCUELA SUR                                                                                     
50302,CONJUNTO HABITACIONAL SALAMANCA  
2595,COLEGIO SANTA MARIA EUFRASIA-
27717,ESCUELA FISCOMISIONAL NO.222 HUAYNA CAPAC 
14919,ALVERNIA LA PRENSA   
37465,COOPERATIVA DE TAXIS BONANZA NO 172  
3306,COLEGIO TECNICO SALESIANO-   
5213,CREA
55367,FUNDACION VEINTINUEVE DE JUNIO   
46801,UNIDAD EDUCATIVA NUEVA AMERICA   
53909,UNIDAD EDUCATIVA DAULIS  
24155,FUNDACION VIRGEN DE LA MERCED
19466,LICEO ALBONOR-  
46506,TITANIUMGROUP SA                                                                                    
48017,CONGREGACION COLEGIO SANTA MARIANA DE JESUS   
69765,COMIL1                                                                                              
60797,CITYCOM 
54477,EMGIRS EP EMPRESA DE GESTION R   
58209,VELOCITY                                                                                            
15671,BANCA COMUNAL 803 IBARRA-
41200,JOSE LUIS SALAZAR LAVANDA
291,CONSORCIO DEL PICHINCHA-
2733,FUNDACION DE ACCION SOCIAL SAN LUIS- 
61222,HECTOR OSWALDO GARCIA TAPIA  
64911,GRUPO SPEEDNET                                                                                      
23357,LOCATIONWORLD SA
33063,Escuela Fiscomisional Catolica Alexander Fleming  
6308,TELECOS-
423,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS-  
45235,TELMODER
46589,FUNDACION MARIA ISABEL TOBAR LANDAZURI
69465,IRONNET                                                                                             
18438,ISMAC                                                                                               
32730,ESCUELA CATOLICA CARDENAL BERNARDINO ECHEVERRIA-  
64089,UE ROSA MARIA ALAVA MOREIRA  
1510,COLEGIO ADVENTISTA AMBATO                                                                           
66444,REVOLUSS
20517,FUXION                                                                                              
27046,COL NUESTRASRA DEL ROSARIO UIO   
8560,PUCE SEDE AMBATO
27829,JARDIN SAUCES UCSG- 
47075,UNIDAD EDUCATIVA SAN FRANCISCO JAVIER
63625,HAPPY ECUADOR                                                                                       
53308,LONGMANED ECUADOR SA                                                                                
23280,MADRES SALESIANAS CORAZON DE MARIA-RECAUDACIONES                                                    
57065,FUNDACION NUEVOS AMIGOS  
20998,SERVICIOS ASESORIA CREDITO Y COBRANZAS SERVICOBRANZAS S A 
65600,ESCUELA JUAN LEON MERA   
32706,MEGANET SA- 
11761,COLEGIO TECNICO DON BOSCO                                                                           
19647,DISMERO SA  
25026,LACTEOS LA POLACA GUSTALAC CIA LTDA  
2291,RECAUDACION UPP UTPL
53116,LEUDINEINC SA   
57536,SISTEMAS DE INFORMATICA SIPSOFT SOCIEDAD ANONIMA  
43249,CTT DE LOS ANDES                                                                                    
5964,TIENS ECUADOR   
21537,ESCUELA CRISTO REY   
36870,LEMAS ML1   
730,UNIVERSIDAD POLITECNICA SALESIANA CUENCA-
19781,COLEGIO MERCANTIL-  
66105,LIDIA ROSARIO IZURIETA CRUZ  
2982,ICESA ORVE S A  
841,COLEGIO MARISTA-
37467,CX SPORTS   
68651,ANITA ALEXANDRA GARCIA MOREIRA                                                                      
3287,MAKROCEL CIA LTDA-  
65393,SABINA SENOVIA FLORES CRUZ   
40030,COOPERATIVA DE TRANSPORTE LA TEBAIDA 
67047,ALFANET DURAN                                                                                       
42264,COBROSESA S.A   
41275,ITB 
19391,UNIDAD ANTONIO  
52130,ESCUELA SANTA PAULA  
1073,CORPORACION NUESTRA SENORA DE FATIMA-
43099,PAZMIÑO GAVILANES KARINA DEL ROCIO   
10764,COLEGIO LA SALLE ATUNTAQUI                                                                          
68256,OCTELCO                                                                                             
27319,CENTRO CRISTIANO INTERNACIONAL JOSUE 
19587,ACADEMIA NAVAL ALTAMAR                                                                              
4073,REGISTRO CIVIL  
138,DIFARE DISTRIBUIDORA FARMACEUTICA ECUATORIANA-
51557,INSTITUTO TECNOLOGICO SUPERIOR JOSE CHIRIBOGA GRIJALVA                                              
28559,INDUSTRIAS KARMAT-  
1257,PEPSICO ALIMENTOS ECUADOR                                                                           
55004,ADMETHODS ECUADOR CIA LTDA   
3297,UNIDAD EDUCATIVA LA INMACULADA GUAYAQUIL  
7018,BP PENSIONADO BORJA N 3-
2165,POSTGRADOS ESPE 
19454,PENSIONADO ATAHUALPA 
56441,UE SANTO DOMINGO DE GUZMAN UIO   
46789,UNIDAD EDUCATIVA EL LIBERTADOR   
67428,LUZ ANIDT ROMERO PULIDO                                                                             
18134,UNIDAD EDUCATIVA JUAN PABLO II   
13613,UNIVERSIDAD TECNICA DE COTOPAXI- 
52491,ISYPLUS 
66643,UNIDAD EDUCATIVA LEV VYGOTSKY
14812,UNID EDUCATIVA LA PRESENTACION   
55148,CONGREGACION MISIONERAS HIJAS DE LA SAGRADA FAMILIA DE NAZARET 
61562,UNIDAD EDUCATIVA LA ASUNCION 
6717,UNIDAD EDUCATIVA MAURICE RAVE-   
24745,4LIFE RESEARCH ECUADOR LLC   
66295,PASAJE TV FIBERPON   
45476,COLEGIO DE BACHILERATO FISCOMISIONAL SAGRADO CORAZON  
52530,GRAN HOGAR  
8967,RECAUDADORA DEL ECUADOR S.A.-RECAUDACIONES                                                          
66253,U E P NAZARET   
54969,UE CARDENAL SPELLMAN 
34649,ESCUELA FISCOMISIONAL PADRE CARLOS CRESPI 
44435,ANTENA SATELITAL MT Y T ANSATTV SA   
54601,UNIDAD EDUCATIVA PRIMAVERA   
16658,RECAUDACIONES
1670,MAVESA  
16456,CARSALU S.A.-   
31375,SATRACK SA                                                                                          
25163,MAVIJU SA                                                                                           
46799,FUNDACION ALIANZA MISIONERA ANTIOQUIA
62755,MASLOW SCHOOL   
2792,COOPERATIVA DE AHORRO Y CREDITO 29 DE OCTUBRE LTDA
2599,FINCA 062-  
66341,ESCUELA SAN JOSE DEL TEJAR   
68000,ESCUELA DON BOSCO                                                                                   
68164,FIBRAWEB SAS                                                                                        
53927,MASOLUC SA                                                                                          
11752,COOPERATIVA DE AH Y CRED CORP CENLIM 
15049,CORPORACION FINANCIERA NACIONAL- 
56422,CENTRO COMERCIAL NUEVO AMANECE   
3966,GOBIERNO MUNICIPAL DE TENA                                                                          
63899,UNIDAD EDU RINCON DEL SABER  
57238,INSTITUTO TECNOLOGICO PARTICULAR DE COMPUTACION SUDAMERICANO ICOPS CIA LTDA
6319,CESANTIA DE LA POLICIA   
8159,CONSORCIO DEL AUSTRO AUSTROCIRCULO SA-   
41168,CARLOTA DEL CARMEN CARDENAS BERMUDEZ 
43309,ULTRANET                                                                                            
471,COLEGIO LA INMACULADA QUITO- 
2085,CELLUNET SA 
54782,CHEVYPLAN CON BASE   
43357,MARISTA ESCUELA BORJA 2  
48599,VERONICA CRISTINA LOPEZ LOAYZA   
2862,SPELLMAN CUMBAYA
29032,FUNDACION EDUCATIVA HORTENSE FEDUHORTENSE-   
68596,SISTELCEL                                                                                           
8495,UEP KOLPING 
31481,TECECAB SA  
12084,COOPERATIVA DE AHORRO Y CREDITO CHIBULEO LTDA.-RECAUDACIONES                                        
9294,CAUTISA SA  
2276,TASA REC. BASURA - PAGO
7762,ESCUELA SAN JOSE DE LA PROVIDENCIA-  
1156,DURAGAS S A 
68898,EUS3 PREUNIVERSITARIO S A S                                                                         
48918,HERMANAS DOMINICAS DE LA INMACULADA CONCEPCION ESCUELA HEREDIA BUSTAMANTE  
1506,RECAUDACIONES
51441,UNIDAD EDUCATIVA JOHANN STRAUSS  
25597,UNIGRANCA   
1325,DATAFAST CIA LTDA-  
38634,COMPANIA DE TRANSPORTES QUITUMBE SA  
39790,COLGAB SA   
69404,JORGE LUIS OGONO GRANDA                                                                             
27812,JARDINES DE DURAN
66675,UNIDAD EDUCATIVA VIGOTSKY
69680,VISION NET CALDERON                                                                                 
11884,PROVEEDORES DE MARCAS PROVEMARCAS CIA LTDA                                                          
9739,CENTRO EDUCATIVO JESSS- 
